Domain,Format Loads,Impressions,Format Fill Rate,Viewability Rate,Efficiency Rate,CPM,Clicks,CTR,Category,Category importance,Country,Geographical zone,Geographical zone importance,Cluster
memurlar.net,2739246.934640523,8942.444444444445,0.5968627450980395,83.80333333333336,92.72026143790848,1.5866013071895424,46.82352941176471,0.4558823529411763,Health & Wellness,2.0807530344315084,Turkey,West Europe,11.98,3
missyusa.com,1732798.149171271,124798.82872928175,10.81419889502763,78.07209944751385,98.46685082872926,1.7137569060773474,98.44198895027624,0.07071823204419878,News & Portals,58.6078771364875,United States,North America,8.32,1
bitbol.la,1054934.0454545454,34032.09090909091,3.7656818181818186,86.46545454545456,89.5134090909091,1.4413636363636366,145.27272727272728,0.3897727272727272,Sports,7.629427792915531,Peru,South America,53.27,4
youm7.com,992087.9516129032,11080.763440860215,1.1370967741935485,61.259731182795676,91.51983870967736,1.7281182795698928,48.46236559139785,0.40172043010752695,News & Portals,58.6078771364875,Egypt,Africa,1.1,1
chinatimes.com,990576.1366120218,188611.00546448087,19.54144808743168,90.04524590163933,99.13666666666674,1.7974590163934454,1311.983606557377,0.7873497267759568,News & Portals,58.6078771364875,Taiwan,Asia,13.09,1
1news.com.br,978111.1714285716,138521.2457142857,7.458342857142861,45.59697142857142,55.02805714285714,0.9258285714285716,562.3885714285715,0.2317714285714285,News & Portals,58.6078771364875,Brazil,South America,53.27,2
mundopositivo.com.br,969535.2786885245,79405.10109289618,13.27696721311476,74.55775956284153,97.7590710382514,1.8115846994535512,9.663934426229508,0.027950819672131075,Community & Culture,6.613822145157296,Brazil,South America,53.27,4
gimy.tv,917792.5217391305,34729.34782608696,17.19173913043478,74.58347826086955,88.05739130434782,1.5856521739130438,355.3478260869565,0.8469565217391305,Movies & Television,3.5670052018825857,Taiwan,Asia,13.09,3
rediff.com,915541.3942857144,86602.11714285714,14.86340000000001,77.82399999999993,98.18562857142858,1.7426285714285723,331.72857142857146,0.3671999999999998,News & Portals,58.6078771364875,India,Asia,13.09,1
stiripesurse.ro,842081.2790697673,22125.53488372093,4.473255813953489,76.10023255813954,86.21744186046513,1.4848837209302326,147.25581395348837,0.5423255813953488,News & Portals,58.6078771364875,Romania,East Europe,10.43,1
laverdadnoticias.com,835287.5327868853,224538.6830601093,27.081612021857943,86.6255737704918,97.610300546448,1.6070218579234974,3274.475409836065,1.5387431693989069,News & Portals,58.6078771364875,Mexico,South America,53.27,2
correiobraziliense.com.br,809165.1279069767,160481.85465116278,23.229244186046525,72.2896220930233,97.46851744186044,1.6631686046511596,743.6366279069767,0.5129651162790697,News & Portals,58.6078771364875,Brazil,South America,53.27,2
plantaoaovivo.com.br,796087.8872180452,22824.270676691733,1.934887218045112,83.45315789473685,86.47691729323309,1.492781954887218,145.12781954887217,0.7386466165413533,Community & Culture,6.613822145157296,Brazil,South America,53.27,4
merca20.com,742033.655737705,54895.56010928962,9.035901639344264,67.4550819672131,91.97650273224052,1.5617213114754074,338.60109289617486,0.5946448087431694,Tech & Gaming,1.9816695566014368,Mexico,South America,53.27,4
minuto30.com,723142.7093023256,25176.748062015504,3.7706201550387592,84.00693798449609,93.64356589147286,1.7122480620155025,149.08914728682169,0.6354651162790703,News & Portals,58.6078771364875,Colombia,South America,53.27,2
huffingtonpost.es,722822.3909774438,125441.87218045113,21.76834586466165,87.98857142857139,98.5746616541353,1.483383458646617,1667.390977443609,1.098195488721805,News & Portals,58.6078771364875,Spain,West Europe,11.98,1
4shared.com,708477.1666666665,9.666666666666666,0.0,62.15833333333333,24.971666666666664,2.183333333333333,0.0,0.0,Community & Culture,6.613822145157296,Brazil,South America,53.27,4
olevod.com,672048.3783783782,64357.32432432433,9.764324324324326,72.16675675675674,94.10135135135135,1.9902702702702704,235.29729729729732,0.3781081081081081,Movies & Television,3.5670052018825857,United States,North America,8.32,3
lebanonfiles.com,658081.283018868,2777.1949685534587,0.431635220125786,68.71672955974843,87.35867924528301,1.7325786163522,16.364779874213838,0.5298113207547168,News & Portals,58.6078771364875,Lebanon,Arabia,1.55,1
storyinsta.com,634961.5967741936,13314.467741935483,2.2322580645161296,78.46,91.1206451612903,1.5375806451612903,141.24193548387098,0.9461290322580648,Community & Culture,6.613822145157296,United States,North America,8.32,3
elcomercio.com,634105.0684931506,55717.98630136986,23.55753424657534,80.02301369863014,88.41917808219178,1.5541095890410952,394.7260273972603,0.6108219178082189,News & Portals,58.6078771364875,Ecuador,South America,53.27,2
ask.fm,613391.8852459015,7281.677595628415,1.274836065573771,62.21882513661194,89.87191256830594,1.7967213114754093,4.355191256830601,0.0665300546448087,News & Portals,58.6078771364875,Egypt,Africa,1.1,1
jugantor.com,612970.0412979351,14674.57227138643,2.4554277286135684,86.12970501474923,98.09604719764023,1.747699115044249,46.81710914454278,0.3251327433628318,News & Portals,58.6078771364875,Bangladesh,Asia,13.09,1
tayyar.org,608149.006097561,12721.073170731708,2.154817073170732,82.57201219512194,97.38012195121954,1.70079268292683,110.83536585365853,0.9072560975609756,News & Portals,58.6078771364875,Lebanon,Arabia,1.55,1
editalconcursosbrasil.com.br,606538.1923076923,59205.0,5.909230769230769,77.48038461538462,94.19961538461537,1.7334615384615382,685.8076923076923,1.5861538461538462,Money & Investing,1.189001733960862,Brazil,South America,53.27,4
planet.fr,599581.2,7199.466666666666,14.215333333333332,70.93,85.712,1.0753333333333333,62.93333333333333,0.6513333333333334,News & Portals,58.6078771364875,France,West Europe,11.98,1
listindiario.com,597021.2481203007,73023.63909774438,12.725939849624062,80.38661654135339,95.5234962406015,1.6818796992481186,895.533834586466,1.3329699248120301,News & Portals,58.6078771364875,Dominican Republic,South America,53.27,2
las2orillas.co,595872.8469945354,53715.030054644805,10.06412568306011,90.54027322404372,95.16625683060111,1.7361748633879757,382.3633879781421,0.7692896174863397,News & Portals,58.6078771364875,Colombia,South America,53.27,2
record.com.mx,589709.7800687285,47020.27491408934,9.019484536082476,73.05563573883158,96.883264604811,1.61085910652921,201.92439862542957,0.4870103092783507,Sports,7.629427792915531,Mexico,South America,53.27,4
ig.com.br,563212.3278688524,81244.98360655738,39.39674863387982,73.01497267759565,97.31538251366119,1.8509562841530032,144.6885245901639,0.2003551912568307,News & Portals,58.6078771364875,Brazil,South America,53.27,2
pikio.pl,545515.4547945205,39846.89589041096,3.776109589041096,45.020082191780816,55.01394520547946,0.8601643835616438,316.35616438356163,0.4018356164383562,News & Portals,58.6078771364875,Poland,East Europe,10.43,1
cooperativa.cl,543338.7267759563,39333.8087431694,7.687978142076508,71.68267759562839,94.41937158469955,1.512759562841528,425.4016393442623,0.9385519125683058,News & Portals,58.6078771364875,Chile,South America,53.27,2
mi.tv,526306.2792207792,15914.220779220781,3.13168831168831,80.07461038961043,93.64402597402592,1.5639610389610408,105.92857142857143,0.7527272727272729,News & Portals,58.6078771364875,Argentina,South America,53.27,2
discuss.com.hk,514596.8907103825,21237.535519125682,3.600300546448089,66.37661202185791,89.79196721311475,1.6995628415300537,76.46174863387978,0.23295081967213105,News & Portals,58.6078771364875,Hong Kong,Asia,13.09,1
vagalume.com.br,512284.7103825136,165461.04918032786,34.38819672131145,77.32786885245906,99.50937158469937,1.6860928961748585,631.0792349726776,0.4274590163934428,Music & Radio,5.622987366856576,Brazil,South America,53.27,4
elmostrador.cl,501339.68159203976,26034.965174129356,5.6463681592039805,85.86388059701494,96.03422885572144,1.5529850746268632,218.96019900497512,0.8581094527363184,News & Portals,58.6078771364875,Chile,South America,53.27,2
finanznachrichten.de,490576.3765822785,64051.55379746835,14.62829113924051,65.67287974683543,95.91297468354436,1.5781329113924063,309.3449367088608,0.5168987341772157,Money & Investing,1.189001733960862,Germany,West Europe,11.98,3
nouw.com,481133.14598540147,15177.087591240877,3.8008759124087583,81.91306569343062,97.15675182481752,1.523321167883209,59.6934306569343,0.3930291970802917,Glamour,4.756006935843448,Sweden,West Europe,11.98,3
dziennikwschodni.pl,459106.42783505155,7518.8195876288655,1.8390721649484543,82.37386597938149,97.50721649484535,1.5593814432989703,163.44845360824743,2.323969072164949,News & Portals,58.6078771364875,Poland,East Europe,10.43,1
clicrbs.com.br,451921.26229508204,101494.7786885246,24.686557377049198,77.53696721311475,99.23265027322408,1.7552185792349717,330.07650273224044,0.3572404371584699,News & Portals,58.6078771364875,Brazil,South America,53.27,2
letras.mus.br,445859.21311475406,183288.7131147541,47.93986338797814,77.15486338797811,99.22316939890705,1.9410928961748637,410.06010928961746,0.22289617486338775,Music & Radio,5.622987366856576,Brazil,South America,53.27,4
jornaldacidadeonline.com.br,431461.5142857143,2500.714285714286,0.5982857142857143,88.68857142857142,85.11628571428574,1.656,13.8,0.7671428571428572,News & Portals,58.6078771364875,Brazil,South America,53.27,2
tvnotas.com.mx,420542.7972508591,34174.98625429553,8.693848797250856,88.16051546391749,95.199381443299,1.6877319587628878,165.47422680412367,0.5057388316151208,Glamour,4.756006935843448,Mexico,South America,53.27,4
eluniversal.com.co,420376.49453551904,30971.904371584704,10.081803278688524,85.57087431693986,95.7965846994536,1.7451912568305972,219.2896174863388,0.7573770491803277,News & Portals,58.6078771364875,Colombia,South America,53.27,2
diariodecuyo.com.ar,420015.6448087432,10608.737704918032,2.6552459016393457,80.40669398907104,90.90642076502735,1.7090983606557346,58.243169398907106,0.5312295081967214,News & Portals,58.6078771364875,Argentina,South America,53.27,2
lagaceta.com.ar,418896.0,23058.549019607843,4.952156862745098,86.03686274509802,72.05725490196076,1.5131372549019608,242.37254901960785,1.103529411764706,News & Portals,58.6078771364875,Argentina,South America,53.27,2
nacionalloteria.es,414713.2857142858,64.0,0.027142857142857142,90.21857142857141,87.69857142857144,1.85,0.0,0.0,Money & Investing,1.189001733960862,Spain,West Europe,11.98,3
kompas.com,403474.5698924731,25840.591397849457,19.475268817204302,66.51129032258065,89.49946236559141,1.620107526881721,142.89247311827958,0.497311827956989,News & Portals,58.6078771364875,Spain,West Europe,11.98,1
lacapital.com.ar,402117.15593220346,19128.94237288136,4.404711864406778,86.5590847457627,96.35454237288131,1.6390508474576262,276.15593220338985,0.8881016949152539,News & Portals,58.6078771364875,Argentina,South America,53.27,2
tudogostoso.com.br,398837.501618123,135026.80258899677,36.51093851132682,77.01977346278325,99.4173786407767,1.6119093851132658,313.3721682847897,0.2553721682847897,Food,1.4119395590785238,Brazil,South America,53.27,4
cgn.inf.br,394453.0,14159.08717948718,3.583384615384615,86.32020512820513,97.68743589743595,1.6222051282051275,51.85128205128204,0.3926666666666666,News & Portals,58.6078771364875,Brazil,South America,53.27,2
tempo.co,393283.7728531856,7788.102493074793,2.1718836565096944,78.12229916897502,95.521108033241,1.814736842105264,65.76177285318559,0.5899168975069248,News & Portals,58.6078771364875,Indonesia,Asia,13.09,1
ttshow.tw,383342.7534246575,20803.25342465753,6.6763698630137,89.06917808219177,95.93554794520544,1.6998630136986306,38.45205479452054,0.171986301369863,Glamour,4.756006935843448,Taiwan,Asia,13.09,3
pictame.com,379777.7692307693,3858.9230769230767,0.3161538461538461,24.42230769230769,30.19461538461539,0.5115384615384616,20.53846153846154,0.13076923076923078,Tech & Gaming,1.9816695566014368,Saudi Arabia,Arabia,1.55,3
yan.vn,374599.8469945355,10661.937158469946,2.6543989071038263,68.31024590163935,82.85002732240433,1.4843989071038242,24.106557377049178,0.1812568306010929,Community & Culture,6.613822145157296,Vietnam,Asia,13.09,3
gulfnews.com,374091.5753424658,59818.05479452055,32.2672602739726,77.77986301369863,87.12671232876713,1.7008219178082191,427.5205479452055,0.5802739726027399,News & Portals,58.6078771364875,United Arab Emirates,Arabia,1.55,1
aristeguinoticias.com,369841.6064516129,34951.054838709686,11.794483870967747,85.76677419354837,94.65435483870978,1.6308064516129024,142.60967741935485,0.4252903225806452,News & Portals,58.6078771364875,Mexico,South America,53.27,2
vix.com,369497.66666666674,37764.0,8.825,93.18166666666669,96.83666666666666,1.2916666666666667,222.66666666666663,0.455,Movies & Television,3.5670052018825857,Brazil,South America,53.27,4
elheraldo.co,358896.11494252866,20609.367816091955,6.114827586206896,72.89954022988508,81.48678160919539,2.0128735632183914,74.64367816091955,0.34712643678160915,News & Portals,58.6078771364875,Ecuador,South America,53.27,2
lostiempos.com,358413.11475409835,16859.811475409835,4.858224043715847,78.96844262295079,94.5753825136612,1.7413114754098376,132.37978142076503,0.7786338797814202,News & Portals,58.6078771364875,Bolivia,South America,53.27,2
xem.vn,358081.8285714285,1863.466666666667,0.2686666666666667,42.70761904761905,43.29333333333333,0.9032380952380954,4.295238095238095,0.11504761904761905,Community & Culture,6.613822145157296,Vietnam,Asia,13.09,3
elespanol.com,358047.34972677595,38324.633879781424,11.91472677595629,81.7850273224043,96.88759562841531,1.682158469945353,202.7704918032787,0.5416939890710387,News & Portals,58.6078771364875,Spain,West Europe,11.98,1
